00000 0,116,150,47,56,1.000000
00000 1,343,156,49,63,1.000000
00000 2,558,145,47,60,1.000000

00001 0,114,148,47,57,1.000000
00001 1,343,154,49,63,1.000000
00001 2,559,143,47,60,1.000000

00002 0,113,146,47,57,1.000000
00002 1,343,152,49,63,1.000000
00002 2,561,141,48,61,1.000000

00003 0,111,143,46,56,1.000000
00003 1,343,151,49,63,1.000000
00003 2,562,138,48,61,1.000000

00004 0,108,141,47,57,1.000000
00004 1,342,149,49,63,1.000000
00004 2,564,136,48,61,1.000000

00005 0,105,139,47,57,1.000000
00005 1,342,147,49,63,1.000000
00005 2,565,135,48,62,1.000000

00006 0,102,137,47,57,1.000000
00006 1,342,146,49,63,1.000000
00006 2,567,134,48,61,1.000000

00007 0,99,137,47,57,1.000000
00007 1,341,145,49,63,1.000000
00007 2,568,133,48,61,1.000000

00008 0,97,136,48,58,1.000000
00008 1,340,145,49,63,1.000000
00008 2,570,132,48,61,1.000000

00009 0,94,134,48,59,1.000000
00009 1,339,144,49,63,1.000000
00009 2,570,132,48,61,1.000000

00010 0,93,133,49,59,1.000000
00010 1,339,143,49,64,1.000000
00010 2,570,131,49,62,1.000000

00011 0,91,132,48,58,1.000000
00011 1,339,143,50,64,1.000000
00011 2,571,129,49,62,1.000000

00012 0,89,130,50,60,1.000000
00012 1,339,142,50,64,1.000000
00012 2,573,129,49,62,1.000000

00013 0,88,130,50,60,1.000000
00013 1,337,142,50,64,1.000000
00013 2,574,128,49,62,1.000000

00014 0,88,127,50,61,1.000000
00014 1,337,141,50,65,1.000000
00014 2,575,128,49,62,1.000000

00015 0,88,126,51,61,1.000000
00015 1,338,139,50,65,1.000000
00015 2,576,128,49,62,1.000000

00016 0,89,124,50,61,1.000000
00016 1,338,138,51,66,1.000000
00016 2,577,127,49,63,1.000000

00017 0,91,123,50,61,0.804188
00017 1,337,136,52,67,1.000000
00017 2,580,126,50,63,1.000000

00018 0,93,122,50,61,0.796253
00018 1,338,135,52,67,1.000000
00018 2,581,125,50,63,1.000000

00019 0,95,120,51,61,0.800139
00019 1,338,134,52,68,1.000000
00019 2,583,124,50,63,1.000000

00020 0,97,120,51,62,0.814529
00020 1,339,132,52,68,1.000000
00020 2,584,125,50,63,1.000000

00021 0,97,119,52,62,0.783011
00021 1,339,132,53,68,1.000000
00021 2,585,124,50,64,1.000000

00022 0,100,119,52,62,0.787227
00022 1,339,130,53,69,1.000000
00022 2,588,124,50,64,0.826633

00023 0,102,119,52,63,0.763746
00023 1,340,129,53,68,1.000000
00023 2,591,124,50,64,0.823512

00024 0,106,119,52,63,0.766070
00024 1,342,129,53,68,1.000000
00024 2,593,125,50,64,0.723139

00025 0,108,119,52,63,0.713467
00025 1,343,130,53,68,1.000000
00025 2,596,124,51,65,0.768091

00026 0,113,119,53,64,0.754458
00026 1,345,131,54,69,1.000000
00026 2,600,125,51,65,0.734098

00027 0,117,120,54,65,0.667987
00027 1,349,131,54,69,1.000000
00027 2,604,126,51,65,0.709576

00028 0,122,120,54,65,0.676653
00028 1,351,131,54,70,1.000000
00028 2,609,125,51,65,0.718549

00029 0,128,119,54,65,0.656202
00029 1,355,132,54,70,1.000000
00029 2,614,127,51,65,0.735499

00030 0,136,119,54,66,0.927123
00030 1,360,133,56,72,1.000000
00030 2,620,128,51,65,0.734730

00031 0,144,121,54,66,0.778284
00031 1,366,133,56,72,1.000000
00031 2,627,129,51,65,0.733632

00032 0,152,120,55,66,0.910643
00032 1,373,134,56,72,1.000000
00032 2,634,131,51,65,0.628420

00033 0,164,120,55,67,0.891147
00033 1,381,134,56,72,1.000000
00033 2,643,132,50,64,0.851672

00034 0,177,121,55,67,0.826949
00034 1,391,135,56,73,1.000000
00034 2,652,134,51,65,0.875730

00035 0,191,121,56,67,0.743392
00035 1,401,135,57,74,1.000000
00035 2,664,135,50,64,0.822984

00036 0,206,121,57,69,0.716945
00036 1,413,135,57,74,1.000000
00036 2,675,136,50,64,0.714852

00037 0,220,122,59,71,0.733014
00037 1,426,136,57,74,1.000000
00037 2,686,138,50,64,0.653419

00038 0,236,124,60,73,0.578320
00038 1,439,137,57,74,1.000000
00038 2,696,139,50,64,0.940809

00039 0,251,125,60,73,0.724041
00039 1,453,139,57,74,1.000000
00039 2,708,143,49,63,0.711291

00040 0,265,127,60,73,0.764835
00040 1,465,141,57,74,0.524505
00040 2,717,146,50,63,0.607088

00041 0,275,128,60,73,0.676409
